Document_ID,Topic,Text,Top_Keywords
377,12,这场 雨有 猛烈 多久 北京市 气象台 发布 暴雨 红色 预警 信号 详情 中国气象局 消息 预计 夜间 北京 出现 暴雨 大暴雨 局地 大暴雨 目前 北京市 防汛 指挥部 启动 全市 防汛 橙色 二级 预警 响应 这场 雨有 猛烈 多久 防御 北京市 气象台 首席 预报员 赵玮张 琳娜 北京市 气象 服务中心 服务 首席 尤焕苓 这场 进行 全面 解读 一问 暴雨 持续 多久 此次 降雨 过程 持续 影响 预计 夜间 北京 暴雨 大暴雨 局地 大暴雨 降雨 过程 阵风 可达 左右 此次 降雨 分为 三个 阶段 类似 列车 先后 影响 北京 第一阶段 列车 夜间 杜苏芮 消散 热带 低压 外围 降水 云系 影响 北京 大雨 西南部 地区 暴雨 伴有 雷电 短时 强降水 短时 大风 第二阶段 好似 列车 车厢 白天 早晨 热带 低压 主体 云系 到来 北京 将会 出现 暴雨 大暴雨 局地 大暴雨 此次 过程 降水量 最为 集中 最大 时段 西部 南部 地区 降水量 相对 较大 降雨 期间 东风 阵风 降雨 具有 间歇性 第三阶段 收尾 阶段 白天 北京 小到中雨 此次 过程 趋于 结束 二问 暴雨 强度 是否 突破 历史纪录 此次 降雨 过程 持续时间 累计 雨量 具有 一定 极端 特别 白天 早晨 第二阶段 北京 降雨 最强 时段 此时 降水量 将会 达到 暴雨 大暴雨 量级 西南部 地区 达到 大暴雨 量级 小时 降水量 累计 降水量 很大 致灾 风险 目前 监测 来看 此次 天气 过程 水汽 十分 充足 持续时间 较长 东风 地形 结合 叠加 降雨 明显 增幅 作用 综合 研判 此次 降水 过程 极端 可能 突破 历史纪录 一定 注意 防范 三问 地区 需要 特别 关注 北京 西南部 包括 门头沟 房山 海淀 西部 需要 尤其 关注 北京 此次 降水 主要 台风 减弱 低压 副热带 高压 外围 暖湿气流 共同 影响 二者 结合 位置 北京 西南部 北部 燕山 西部 太行山 余脉 地形 因素 北京 西南部 降水 一定 增幅 作用 降水量 可能 达到 大暴雨 毫米 以上 量级 可能 出现 三天 累计 降水量 毫米 情况 西南部 山区 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 需要 高度 警惕 四问 北京 台风 影响 情况 多见 总体 来说 不多见 据统计 自有 气象 记录 以来 台风 减弱 低压 接近 北京 北京地区 带来 比较 明显 风雨 影响 影响 最大 一次 浙江 登陆 台风 温黛 北京 带来 较大 降水 当时 全市 观测站 平均 降水量 超过 毫米 五问 应对 暴雨 此次 降雨 过程 全市 居民 出行 工作 生活 带来 比较 影响 关注 最新 降雨 实况 预报 预警 信息 风雨 期间 最好 出门 居家 关紧 门窗 老旧 房屋 提前 做好 防漏 苫盖 修缮 工作 加强 房屋 稳固 情况 进行 检查 发现 存在 安全隐患 尽快 撤离 安全 地方 暴雨 造成 山洪 山体 崩塌 泥石流 地质灾害 风险 增大 市民 应当 避免 前往 山区 河道 地质灾害 隐患 区域 活动 山区 居民 提前 转移 安全 区域 六问 北京市 气象部门 举措 应对 此次 降雨 过程 北京市 气象局 进入 特别 工作 状态 一级 应急 响应 坚持 人民 至上 生命 至上 主要 负责人 小时 带班 强化 底线 思维 极限 思维 提前 开展 观测 设备 巡检 维护 注重 发挥 科技成果 预报 预警 支撑 作用 全方位 开展 面向 公众 科普 宣传 举办 新闻 通气会 录制 台风 影响 防御 解读 方式 全网 发布 暴雨 提示信息 台风 强降水 科普知识 针对 行业 用户 日起 铁路部门 发布 专报 警报 交通委 交管局 排水 集团 单位 滚动 发布 专项 预报 预警 信息 加强 电力 城市 应急 旅游 领域 跟踪服务 提前 做出 重要 提示 京报,"北京, 暴雨, 降雨, 大暴雨, 影响"
378,12,这场 雨有 猛烈 多久 北京市 气象台 发布 暴雨 红色 预警 信号 详情 中国气象局 消息 预计 夜间 北京 出现 暴雨 大暴雨 局地 大暴雨 目前 北京市 防汛 指挥部 启动 全市 防汛 橙色 二级 预警 响应 这场 雨有 猛烈 多久 防御 北京市 气象台 首席 预报员 赵玮张 琳娜 北京市 气象 服务中心 服务 首席 尤焕苓 这场 进行 全面 解读 一问 暴雨 持续 多久 此次 降雨 过程 持续 影响 预计 夜间 北京 暴雨 大暴雨 局地 大暴雨 降雨 过程 阵风 可达 左右 此次 降雨 分为 三个 阶段 类似 列车 先后 影响 北京 第一阶段 列车 夜间 杜苏芮 消散 热带 低压 外围 降水 云系 影响 北京 大雨 西南部 地区 暴雨 伴有 雷电 短时 强降水 短时 大风 第二阶段 好似 列车 车厢 白天 早晨 热带 低压 主体 云系 到来 北京 将会 出现 暴雨 大暴雨 局地 大暴雨 此次 过程 降水量 最为 集中 最大 时段 西部 南部 地区 降水量 相对 较大 降雨 期间 东风 阵风 降雨 具有 间歇性 第三阶段 收尾 阶段 白天 北京 小到中雨 此次 过程 趋于 结束 二问 暴雨 强度 是否 突破 历史纪录 此次 降雨 过程 持续时间 累计 雨量 具有 一定 极端 特别 白天 早晨 第二阶段 北京 降雨 最强 时段 此时 降水量 将会 达到 暴雨 大暴雨 量级 西南部 地区 达到 大暴雨 量级 小时 降水量 累计 降水量 很大 致灾 风险 目前 监测 来看 此次 天气 过程 水汽 十分 充足 持续时间 较长 东风 地形 结合 叠加 降雨 明显 增幅 作用 综合 研判 此次 降水 过程 极端 可能 突破 历史纪录 一定 注意 防范 三问 地区 需要 特别 关注 北京 西南部 包括 门头沟 房山 海淀 西部 需要 尤其 关注 北京 此次 降水 主要 台风 减弱 低压 副热带 高压 外围 暖湿气流 共同 影响 二者 结合 位置 北京 西南部 北部 燕山 西部 太行山 余脉 地形 因素 北京 西南部 降水 一定 增幅 作用 降水量 可能 达到 大暴雨 毫米 以上 量级 可能 出现 三天 累计 降水量 毫米 情况 西南部 山区 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 需要 高度 警惕 四问 北京 台风 影响 情况 多见 总体 来说 不多见 据统计 自有 气象 记录 以来 台风 减弱 低压 接近 北京 北京地区 带来 比较 明显 风雨 影响 影响 最大 一次 浙江 登陆 台风 温黛 北京 带来 较大 降水 当时 全市 观测站 平均 降水量 超过 毫米 五问 应对 暴雨 此次 降雨 过程 全市 居民 出行 工作 生活 带来 比较 影响 关注 最新 降雨 实况 预报 预警 信息 风雨 期间 最好 出门 居家 关紧 门窗 老旧 房屋 提前 做好 防漏 苫盖 修缮 工作 加强 房屋 稳固 情况 进行 检查 发现 存在 安全隐患 尽快 撤离 安全 地方 暴雨 造成 山洪 山体 崩塌 泥石流 地质灾害 风险 增大 市民 应当 避免 前往 山区 河道 地质灾害 隐患 区域 活动 山区 居民 提前 转移 安全 区域 六问 北京市 气象部门 举措 应对 此次 降雨 过程 北京市 气象局 进入 特别 工作 状态 一级 应急 响应 坚持 人民 至上 生命 至上 主要 负责人 小时 带班 强化 底线 思维 极限 思维 提前 开展 观测 设备 巡检 维护 注重 发挥 科技成果 预报 预警 支撑 作用 全方位 开展 面向 公众 科普 宣传 举办 新闻 通气会 录制 台风 影响 防御 解读 方式 全网 发布 暴雨 提示信息 台风 强降水 科普知识 针对 行业 用户 日起 铁路部门 发布 专报 警报 交通委 交管局 排水 集团 单位 滚动 发布 专项 预报 预警 信息 加强 电力 城市 应急 旅游 领域 跟踪服务 提前 做出 重要 提示 京报,"北京, 暴雨, 降雨, 大暴雨, 影响"
379,2,北京 新闻 升级 发布 暴雨 红色 预警 信号 防汛 提示 气象台 升级 发布 暴雨 红色 预警 信号 预计 夜间 夜间 本市 出现 大暴雨 西部 南部 大暴雨 主要 降雨 过程 出现 时至 全市 大暴雨 房山 门头沟 昌平 海淀 石景山 丰台 延庆 大兴 通州 西城 东城 朝阳 部分 地区 有特 大暴雨 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范,"出现, 大暴雨, 山区, 夜间, 山洪"
380,2,北京 今天 北京 区域 范围 严防 严控 发生 强降雨 天气 引发 自然灾害 北京 区域 防止 河流 发生 洪水 灾害 北京 区域 山区 防止 发生 泥石流 灾害 北京 区域 路面 防止 发生 下水道 堵塞 造成 积水 成河 北京 区域 防止 发生 积水 成河 造成 人身安全 伤亡事故 北京,"出现, 大暴雨, 山区, 夜间, 山洪"
381,2,预计 夜间 夜间 本市 出现 大暴雨 西部 南部 大暴雨 主要 降雨 过程 出现 时至 全市 大暴雨 房山 门头沟 昌平 海淀 石景山 丰台 延庆 大兴 通州 西城 东城 朝阳 部分 地区 有特 大暴雨 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范 精准 天气预报 实时 天气 预警,"出现, 大暴雨, 山区, 夜间, 山洪"
382,6,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒,"食物, 风险, 不吃, 互相, 伤口处"
383,11,降水 位腾 库容 河北 石家庄 调控 水库 应对 汛期 目前 河北省 进入 汛期 河北省 水利厅 决定 时起 洪水 防御 应急 响应 等级 由级 提升 至级 近日 石家庄市 水利部门 降水 预测 水库 进行 科学 调度 降低 水位 库容 据介绍 石家庄市 共有 大中小型 水库 岗南 黄壁庄 水库 正在 预泄腾库 石家庄 广播 电视台,"水库, 石家庄市, 河北省, 洪水, 汛期"
384,2,注意 防范 北京市 发布 暴雨 橙色 预警 今天 北京市 防汛 获悉 北京市 气象台 年月日时 发布 暴雨 橙色 预警 信号 预计 夜间 夜间 本市 出现 暴雨 大暴雨 西部 南部 城区 大暴雨 主要 降雨 过程 出现 日时 阴有 暴雨 西部 南部 大暴雨 局地 大暴雨 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范 北京市 气象台 年月日时 发布 雷电 黄色 预警 信号 雷雨云 影响 预计 当前 日时 本市 大部地区 雷电 活动 局地 短时 雨强 较大 伴有 左右 短时 大风 冰雹 注意 防范 中华,"出现, 大暴雨, 山区, 夜间, 山洪"
385,6,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒,"食物, 风险, 不吃, 互相, 伤口处"
386,12,这场 雨有 猛烈 多久 北京市 气象台 发布 暴雨 红色 预警 信号 详情 中国气象局 消息 预计 夜间 北京 出现 暴雨 大暴雨 局地 大暴雨 目前 北京市 防汛 指挥部 启动 全市 防汛 橙色 二级 预警 响应 这场 雨有 猛烈 多久 防御 北京市 气象台 首席 预报员 赵玮张 琳娜 北京市 气象 服务中心 服务 首席 尤焕苓 这场 进行 全面 解读 一问 暴雨 持续 多久 此次 降雨 过程 持续 影响 预计 夜间 北京 暴雨 大暴雨 局地 大暴雨 降雨 过程 阵风 可达 左右 此次 降雨 分为 三个 阶段 类似 列车 先后 影响 北京 第一阶段 列车 夜间 杜苏芮 消散 热带 低压 外围 降水 云系 影响 北京 大雨 西南部 地区 暴雨 伴有 雷电 短时 强降水 短时 大风 第二阶段 好似 列车 车厢 白天 早晨 热带 低压 主体 云系 到来 北京 将会 出现 暴雨 大暴雨 局地 大暴雨 此次 过程 降水量 最为 集中 最大 时段 西部 南部 地区 降水量 相对 较大 降雨 期间 东风 阵风 降雨 具有 间歇性 第三阶段 收尾 阶段 白天 北京 小到中雨 此次 过程 趋于 结束 二问 暴雨 强度 是否 突破 历史纪录 此次 降雨 过程 持续时间 累计 雨量 具有 一定 极端 特别 白天 早晨 第二阶段 北京 降雨 最强 时段 此时 降水量 将会 达到 暴雨 大暴雨 量级 西南部 地区 达到 大暴雨 量级 小时 降水量 累计 降水量 很大 致灾 风险 目前 监测 来看 此次 天气 过程 水汽 十分 充足 持续时间 较长 东风 地形 结合 叠加 降雨 明显 增幅 作用 综合 研判 此次 降水 过程 极端 可能 突破 历史纪录 一定 注意 防范 三问 地区 需要 特别 关注 北京 西南部 包括 门头沟 房山 海淀 西部 需要 尤其 关注 北京 此次 降水 主要 台风 减弱 低压 副热带 高压 外围 暖湿气流 共同 影响 二者 结合 位置 北京 西南部 北部 燕山 西部 太行山 余脉 地形 因素 北京 西南部 降水 一定 增幅 作用 降水量 可能 达到 大暴雨 毫米 以上 量级 可能 出现 三天 累计 降水量 毫米 情况 西南部 山区 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 需要 高度 警惕 四问 北京 台风 影响 情况 多见 总体 来说 不多见 据统计 自有 气象 记录 以来 台风 减弱 低压 接近 北京 北京地区 带来 比较 明显 风雨 影响 影响 最大 一次 浙江 登陆 台风 温黛 北京 带来 较大 降水 当时 全市 观测站 平均 降水量 超过 毫米 五问 应对 暴雨 此次 降雨 过程 全市 居民 出行 工作 生活 带来 比较 影响 关注 最新 降雨 实况 预报 预警 信息 风雨 期间 最好 出门 居家 关紧 门窗 老旧 房屋 提前 做好 防漏 苫盖 修缮 工作 加强 房屋 稳固 情况 进行 检查 发现 存在 安全隐患 尽快 撤离 安全 地方 暴雨 造成 山洪 山体 崩塌 泥石流 地质灾害 风险 增大 市民 应当 避免 前往 山区 河道 地质灾害 隐患 区域 活动 山区 居民 提前 转移 安全 区域 六问 北京市 气象部门 举措 应对 此次 降雨 过程 北京市 气象局 进入 特别 工作 状态 一级 应急 响应 坚持 人民 至上 生命 至上 主要 负责人 小时 带班 强化 底线 思维 极限 思维 提前 开展 观测 设备 巡检 维护 注重 发挥 科技成果 预报 预警 支撑 作用 全方位 开展 面向 公众 科普 宣传 举办 新闻 通气会 录制 台风 影响 防御 解读 方式 全网 发布 暴雨 提示信息 台风 强降水 科普知识 针对 行业 用户 日起 铁路部门 发布 专报 警报 交通委 交管局 排水 集团 单位 滚动 发布 专项 预报 预警 信息 加强 电力 城市 应急 旅游 领域 跟踪服务 提前 做出 重要 提示 京报,"北京, 暴雨, 降雨, 大暴雨, 影响"
387,5,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒 来源 生命 时报 编校 王玉婷 审核 李懋,"洪水, 暴雨, 台风, 影响, 杜苏芮"
388,6,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒,"食物, 风险, 不吃, 互相, 伤口处"
389,5,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒 生命 时报,"洪水, 暴雨, 台风, 影响, 杜苏芮"
390,6,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒,"食物, 风险, 不吃, 互相, 伤口处"
391,6,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒,"食物, 风险, 不吃, 互相, 伤口处"
392,6,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒,"食物, 风险, 不吃, 互相, 伤口处"
393,32,分享 凤凰 新闻 北京市 水文 总站 发布 洪水 蓝色 预警 河道 可能 发生 洪水 北京市 水文 总站 发布 洪水 蓝色 预警 河道 可能 发生 洪水 凤凰网 资讯 凤凰网 来自,"洪水, 预警, 橙色, 发布, 流域"
394,6,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒,"食物, 风险, 不吃, 互相, 伤口处"
395,22,实时 播报 水利部 部长 李国英 京津冀 检查 北运河 流域 防汛 准备 工作 国家 防总 总指挥 水利部 部长 李国英 北京市 河北省 天津市 检查 北运河 流域 洪水 防御 准备 工作 强调 坚决 贯彻落实 习近平 总书记 防汛 救灾 工作 重要 指示精神 进一步 树牢 底线 思维 极限 思维 以防 大汛 抗大 险迎 大考 状态 充分 做好 各项 准备 工作 坚决 守住 防汛 安全 底线 确保 人民 群众 生命财产 安全 确保 首都 防洪 绝对 安全 中国 水利,"安全, 工作, 单位, 预警, 做好"
396,2,北京市 气象台 消息 预计 夜间 夜间 北京市 出现 大暴雨 西部 南部 大暴雨 主要 降雨 过程 出现 时至 全市 大暴雨 房山 门头沟 昌平 海淀 石景山 丰台 延庆 大兴 通州 西城 东城 朝阳 部分 地区 有特 大暴雨 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范 精准 天气预报 实时 天气 预警,"出现, 大暴雨, 山区, 夜间, 山洪"
397,11,目前 河北省 进入 汛期 河北省 水利厅 决定 时起 洪水 防御 应急 响应 等级 由级 提升 至级 近日 石家庄市 水利部门 降水 预测 水库 进行 科学 调度 降低 水位 库容 据介绍 石家庄市 共有 大中小型 水库 岗南 黄壁庄 水库 正在 预泄腾库 来源 新华社 河北 日报,"水库, 石家庄市, 河北省, 洪水, 汛期"
398,2,防汛 提示 气象台 升级 发布 暴雨 红色 预警 信号 预计 夜间 夜间 本市 出现 大暴雨 西部 南部 大暴雨 主要 降雨 过程 出现 时至 全市 大暴雨 房山 门头沟 昌平 海淀 石景山 丰台 延庆 大兴 通州 西城 东城 朝阳 部分 地区 有特 大暴雨 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范,"出现, 大暴雨, 山区, 夜间, 山洪"
399,11,石家庄 调控 水库 应对 汛期 目前 河北省 进入 汛期 河北省 水利厅 决定 时起 洪水 防御 应急 响应 等级 由级 提升 至级 近日 石家庄市 水利部门 降水 预测 水库 进行 科学 调度 降低 水位 库容 据介绍 石家庄市 共有 大中小型 水库 岗南 黄壁庄 水库 正在 预泄腾库 来源 新华社 河北 日报,"水库, 石家庄市, 河北省, 洪水, 汛期"
400,11,石家庄 调控 水库 应对 汛期 目前 河北省 进入 汛期 河北省 水利厅 决定 时起 洪水 防御 应急 响应 等级 由级 提升 至级 近日 石家庄市 水利部门 降水 预测 水库 进行 科学 调度 降低 水位 库容 据介绍 石家庄市 共有 大中小型 水库 岗南 黄壁庄 水库 正在 预泄腾库 来源 新华社 河北 日报,"水库, 石家庄市, 河北省, 洪水, 汛期"
401,32,丰台 发布 洪水 蓝色 预警 丰台区 防汛 丰台区 应急 提示 水文 总站 发布 气象预报 日至 我市 暴雨 大暴雨 过程 涉及 永定河 流域 永定河 大家 远离 永定河 确保安全,"洪水, 预警, 橙色, 发布, 流域"
402,2,升级 发布 信号 防汛 提示 气象台 升级 发布 暴雨 红色 预警 信号 预计 夜间 夜间 本市 出现 大暴雨 西部 南部 大暴雨 主要 降雨 过程 出现 时至 全市 大暴雨 房山 门头沟 昌平 海淀 石景山 丰台 延庆 大兴 通州 西城 东城 朝阳 部分 地区 有特 大暴雨 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范 气象 北京,"出现, 大暴雨, 山区, 夜间, 山洪"
403,36,防汛 提示 水文 总站 发布 洪水 蓝色 预警 气象预报 日至 我市 暴雨 大暴雨 过程 预测 分析 大清河 流域 拒马河 北运河 流域 温榆河 永定河 流域 永定河 可能 发生 蓝色 预警 等级 洪水 市民 远离 河道 确保 安全 北京 时间,"洪水, 流域, 预警, 蓝色, 永定河"
404,11,目前 河北省 进入 汛期 河北省 水利厅 决定 时起 洪水 防御 应急 响应 等级 由级 提升 至级 近日 石家庄市 水利部门 降水 预测 水库 进行 科学 调度 降低 水位 库容 据介绍 石家庄市 共有 大中小型 水库 岗南 黄壁庄 水库 正在 预泄腾库 来源 新华社 河北 日报,"水库, 石家庄市, 河北省, 洪水, 汛期"
405,18,顺义区 气象台 升级 发布 暴雨 红色 预警 预计 夜间 夜间 顺义区 出现 大暴雨 局地 大暴雨 主要 降雨 过程 出现 时至 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范,"出现, 大暴雨, 暴雨, 夜间, 预警"
406,-1,永定河 北京 水患 永定河 北京 母亲河 这位 母亲 脾气 不是太好 据统计 自金朝 中国 建立 年间 永定河 决口 漫溢 河道 改道 卢沟桥 北京 西侧 城门 广安门 直线 公里 石景山 麻峪至 丰台 天堂 世界 公园 西侧 左岸 堤防 溃决 洪水 直接 威胁 北京城 世纪 五十年代 中央 要求 拆除 北京 城墙 市委书记 彭真 陷入 两难 北京城 重要 标志物 深知 城墙 北京 文化 意义 北京市 可能 直接 服从 中央 精神 为此 采取 公开 拥护 拆除 城墙 决定 实际上 迟迟 动工 部分 动工 主要 拆除 外城 城墙 拖到 战备 地铁 修建 内城 城墙 全面 拆除 保留 城墙 要求 北京市 规划 部门 研究 利用 城墙 高架 环城公路 高架 有轨电车 线路 方案 指示 研究 调查 历史 永定河 洪水 曾经 几次 城墙 以此 证明 城墙 防洪 功能 保护 城墙 努力 白费 这份 调查 资料 保留 至今 查阅 相关 史料 发现 明代 以来 永定河 洪水 直抵 北京 城垣 有过 六次 第一次 嘉靖 二十五年 六月 底连雨 山水 涌入 都城 数尺 九门 城垣 第二次 天启 六年 六月 久雨 卢沟河 水发 京西 人御河 穿城 经五闸 通州 民多 溺死 六月 辛亥 天雨 连绵 都城 桥梁 坍塌 第三次 康熙 七年 浑河 永定河 水决 直入 正阳 崇文 宣武 齐化 朝阳 诸门 午门 浸崩 一角 第四次 嘉庆 六年 六月 初三 卢沟桥 水涨 二丈 四尺 三寸 永定河 堤岸 最高者 仅止 一丈 二三尺 桥漫则 堤漫 相连 实为 从来未有 卢沟桥 东西 两岸 及桥 东岸 冲刷 丈数 并桥 栏杆 狮子 冲坏 天将 查得 河堤 石景山 石工 决口 五处 土堤 复有 十八处 余丈 俱经 溃决 水冲 流大井村 草桥 南苑 一带 广宁门 广安门 外普济堂 至大井 一带 初五 夜间 河水 涨发 水势 甚大 普济堂 水深 一二尺 石桥 以西 三四里 水深 五尺 不等 小井 村大井村 一带 水势 甚大 阻隔 行人 村庄 水淹 上述 引语 可知 永定河 卢沟桥 以上 左岸 决口 洪水 卢沟桥 北经 大井甘 石桥 一带 直抵 广安门 右安门 城门 堵闭 幸未 进城 洪水 凉水河 直达 马驹桥 第五次 光绪 十六年 永定河 五月 二十八日 以后 连日 大雨如注 直晋 山水 建瓴 河水 陡涨 二丈 三尺 八寸 浩瀚 奔腾 异常 汹涌 永定河 北上 因连旬 大雨 漫溢 成口 水口 宽至 二百二 十八丈 大溜 直趋 右安门 草桥 奔腾 东下 义门 广安门 西门 右安门 一带 平地 水深 丈许 洪流 淹没 庐十不存 西南 一望 尽成 泽国 灌入 西门 城门 塞闭 数日 此次 灾状 嘉庆 六年 大略 相同 第六次 光绪 十九年 永定河 六月 十二日 河水 涨至 二丈 三尺 十三日 雨势 益疾 风力 山水 暴发 排山倒海 浪高 卢沟桥 顶者 丈余 东西 石栏 冲走 数十块 卢沟桥 东雁翅 漫水 灌入 拱极城 宛平城 桥下 石塔 过水 石景山 东岸 石堤 五号 坍塌 两段 十四号 十七号 坍塌 一段 凑长 十八丈 右安门 永定河 五号 七号 决口 洪水横流 直灌 西红门 注于 黄村 下接 通州 配图 航拍 图一 是从 北京城 向西 俯瞰 永定河 箭头 卢沟桥 指向 广安门 间距 公里 图二 永定河 三家店 卢沟桥 现在 门城 湖莲 石湖 博湖 月湖,异常值
407,5,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒 生命 时报,"洪水, 暴雨, 台风, 影响, 杜苏芮"
408,6,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒,"食物, 风险, 不吃, 互相, 伤口处"
409,2,北京市 气象局 消息 预计 夜间 夜间 本市 出现 大暴雨 西部 南部 大暴雨 主要 降雨 过程 出现 时至 全市 大暴雨 房山 门头沟 昌平 海淀 石景山 丰台 延庆 大兴 通州 西城 东城 朝阳 部分 地区 有特 大暴雨 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范,"出现, 大暴雨, 山区, 夜间, 山洪"
410,6,台风 杜苏芮 残余 环流 影响 河北 北京 天津 河南 降雨 具有 极端 致灾 风险 暴雨 尽量减少 出门 不到 山区 游玩 不吃 洪水 浸泡 食物 生水 开水 桶装水 水后 伤口处 消毒 互相 提醒,"食物, 风险, 不吃, 互相, 伤口处"
411,35,暴雨 红色 预警 洪水 蓝色 预警 北京,"北京, 洪水, 预警, 发布, 蓝色"
412,32,台风 杜苏芮 登陆 福建 晋江 沿海 杜苏芮 残余 环流 继续 北上 影响 华北 黄淮 极端 强降雨 过程 此次 强降雨 过程 极端 性强 致灾 风险 身处 暴雨 之中 自救 判断 积水 是否 有电 救援 神器 洪灾 传染病 预防 值得注意 京报 新闻,"洪水, 预警, 橙色, 发布, 流域"
413,22,李国英 京津冀 检查 北运河 流域 防汛 准备 工作 国家 防总 总指挥 水利部 部长 李国英 北京市 河北省 天津市 检查 北运河 流域 洪水 防御 准备 工作 强调 坚决 贯彻落实 习近平 总书记 防汛 救灾 工作 重要 指示精神 进一步 树牢 底线 思维 极限 思维 以防 大汛 抗大 险迎 大考 状态 充分 做好 各项 准备 工作 坚决 守住 防汛 安全 底线 确保 人民 群众 生命财产 安全 确保 首都 防洪 绝对 安全 李国英 京津冀 检查 北运河 流域 防汛 准备 工作,"安全, 工作, 单位, 预警, 做好"
414,2,北京 最高 暴雨 警告 北京市 气象台 傍晚 升级 发布 最高级别 暴雨 红色 预警 信号 预计 夜间 夜间 北京市 出现 大暴雨 西部 南部 大暴雨 气象部门 提示 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范 北京市 气象 灾害 防御 中心 更新 标准 暴雨 红色 预警 启动 标准 预计 未来 可能 出现 下列 条件 实况 达到 下列 条件 可能 持续 雨强 小时 降雨量 毫米 以上 小时 降雨量 毫米 以上,"出现, 大暴雨, 山区, 夜间, 山洪"
415,9,强降雨 应对 手册 预计 日至 京津 冀鲁豫 极端 强降雨 强降雨 天气 可能 导致 洪水 山体 滑坡 泥石流 次生 灾害 暴雨 防范 次生 灾害 了解,"强降雨, 灾害, 次生, 山体, 滑坡"
